player,name,position,team,mean_adp,median_adp,n_drafts
16603,"Davis, Ray",RB,BUF,141.1216216216216,140.0,148
0523,"Packers, Green Bay",Def,GBP,141.24827586206897,146.0,145
11247,"Ertz, Zach",TE,WAS,141.3082191780822,144.0,146
14974,"Mooney, Darnell",WR,ATL,142.20422535211267,136.0,142
14717,"McLaughlin, Chase",PK,TBB,143.89743589743588,150.0,156
13315,"Saubert, Eric",TE,SEA,144.0,144.0,1
17105,"Helm, Gunnar",TE,TEN,144.85714285714286,146.0,7
0522,"Lions, Detroit",Def,DET,144.88198757763976,145.0,161
11222,"Allen, Keenan",WR,LAC,144.89261744966444,143.0,149
15757,"Robinson, Wan'Dale",WR,NYG,146.06201550387595,146.0,129
13633,"Kirk, Christian",WR,HOU,146.42748091603053,147.0,131
13289,"Hollins, Mack",WR,NEP,147.0,147.0,2
17069,"Blue, Jaydon",RB,DAL,147.4453125,149.0,128
16583,"Penix Jr., Michael",QB,ATL,148.55769230769232,153.0,156
0722,"Lions, Detroit",TMPK,DET,148.91666666666666,158.5,12
16189,"Mims, Marvin",WR,DEN,149.31932773109244,153.0,119
11938,"Thielen, Adam",WR,FA,149.3409090909091,151.0,132
13354,"Butker, Harrison",PK,KCC,149.38709677419354,150.0,155
0582,"Texans, Houston",ST,HOU,150.0,103.0,3
16330,"Baringer, Bryce",PN,NEP,150.0,150.0,1
0602,"Colts, Indianapolis",Off,IND,150.0,150.0,1
17076,"Bond, Isaiah",WR,CLE,150.28571428571428,143.0,7
16594,"Benson, Trey",RB,ARI,150.512,148.0,125
15714,"White, Zamir",RB,LVR,151.0,155.5,4
14778,"Tagovailoa, Tua",QB,MIA,152.24460431654677,155.0,139
9431,"Stafford, Matthew",QB,LAR,152.76859504132233,160.0,121
17096,"Williams, Savion",WR,GBP,153.5,153.5,2
17107,"Ferguson, Terrance",TE,LAR,153.56,156.0,25
13303,"Elliott, Jake",PK,PHI,153.94,159.5,150
11367,"Juszczyk, Kyle",RB,SFO,154.0,154.0,2
13846,"Woodside, Logan",QB,ARI,154.0,154.0,1
17059,"Gordon, Ollie",RB,MIA,154.57142857142858,154.0,91
11936,"Boswell, Chris",PK,PIT,154.71014492753622,155.5,138
0512,"Chiefs, Kansas City",Def,KCC,155.88111888111888,162.0,143
17052,"Tuten, Bhayshul",RB,JAC,155.90217391304347,159.0,92
12175,"Cooper, Amari",WR,FA,156.64864864864865,162.5,74
0581,"Ravens, Baltimore",ST,BAL,157.0,147.0,3
17083,"Higgins, Jayden",WR,HOU,157.14705882352942,159.0,102
14840,"Aiyuk, Brandon",WR,SFO,157.3490566037736,154.5,106
7836,"Rodgers, Aaron",QB,PIT,157.4392523364486,158.0,107
16165,"Spears, Tyjae",RB,TEN,157.65822784810126,157.0,79
14871,"Parkinson, Colby",TE,LAR,158.0,158.0,1
17030,"Ward, Cam",QB,TEN,158.02197802197801,156.0,91
15798,"Likely, Isaiah",TE,BAL,158.4271844660194,163.0,103
14867,"Kmet, Cole",TE,CHI,158.6161616161616,159.0,99
15331,"Freiermuth, Pat",TE,PIT,158.72173913043477,158.0,115
