season,player_name,position_x,team_x,espn_rank,pct_championship_rosters,adp_overall,draft_status,season_ppr_points,espn_category,narrative_label,explicitly_named_league_winner,reasoning_paraphrase,inclusion_rule,coverage_type,article_title,article_author,article_publication_date,article_url,extraction_confidence,ambiguity_notes,player_norm,player,name,position_y,team_y,mean_adp,median_adp,n_drafts,abs_diff,signed_diff
2025,Courtland Sutton,WR,DEN,34,12.5,64.2,drafted,218.2,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,courtland sutton,13630,"Sutton, Courtland",WR,DEN,54.88421052631579,53.0,190,9.315789473684212,-9.315789473684212
2025,Javonte Williams,RB,DAL,35,12.5,114.5,drafted,242.8,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,javonte williams,15256,"Williams, Javonte",RB,DAL,107.35754189944134,106.0,179,7.142458100558656,-7.142458100558656
2025,Jake Ferguson,TE,DAL,36,12.3,140.5,drafted,186.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jake ferguson,15799,"Ferguson, Jake",TE,DAL,138.47368421052633,138.5,152,2.0263157894736707,-2.0263157894736707
2025,Tyler Warren,TE,IND,37,12.3,100.3,drafted,180.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,tyler warren,17102,"Warren, Tyler",TE,IND,94.98305084745763,91.0,177,5.316949152542364,-5.316949152542364
2025,Dak Prescott,QB,DAL,38,12.2,113.4,drafted,313.08,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,dak prescott,12620,"Prescott, Dak",QB,DAL,85.57219251336899,85.0,187,27.827807486631016,-27.827807486631016
2025,Mike Evans,WR,TB,39,12.2,50.5,drafted,79.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,mike evans,11671,"Evans, Mike",WR,TBB,37.625,38.0,192,12.875,-12.875
2025,Zay Flowers,WR,BAL,40,11.9,60.7,drafted,213.5,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,zay flowers,16190,"Flowers, Zay",WR,BAL,62.670212765957444,61.0,188,1.9702127659574415,1.9702127659574415
2025,Dallas Goedert,TE,PHI,42,11.6,133.3,drafted,185.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,dallas goedert,13674,"Goedert, Dallas",TE,PHI,132.5448717948718,137.0,156,0.7551282051282158,-0.7551282051282158
2025,Joe Burrow,QB,CIN,43,11.5,34.1,drafted,113.32,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,joe burrow,14777,"Burrow, Joe",QB,CIN,24.005235602094242,23.0,191,10.09476439790576,-10.09476439790576
2025,RJ Harvey,RB,DEN,44,11.3,81.8,drafted,202.3,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,rj harvey,17068,"Harvey, RJ",RB,DEN,59.080213903743314,57.0,187,22.719786096256684,-22.719786096256684
2025,Rashee Rice,WR,KC,46,11.0,88.1,drafted,150.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,rashee rice,16194,"Rice, Rashee",WR,KCC,84.3757225433526,82.0,173,3.7242774566473997,-3.7242774566473997
2025,Omarion Hampton,RB,LAC,47,11.0,40.7,drafted,135.7,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,omarion hampton,17044,"Hampton, Omarion",RB,LAC,37.397905759162306,36.0,191,3.3020942408376968,-3.3020942408376968
2025,A.J. Brown,WR,PHI,48,11.0,18.6,drafted,220.3,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,aj brown,14104,"Brown, A.J.",WR,PHI,25.447916666666668,26.0,192,6.847916666666666,6.847916666666666
2025,Emeka Egbuka,WR,TB,49,10.9,90.8,drafted,193.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,emeka egbuka,17081,"Egbuka, Emeka",WR,TBB,86.92553191489361,84.5,188,3.874468085106386,-3.874468085106386
2025,Drake London,WR,ATL,50,10.8,22.3,drafted,184.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,drake london,15751,"London, Drake",WR,ATL,25.666666666666668,25.0,192,3.366666666666667,3.366666666666667
