pick,name,position,team,overall_adp
14.05,Steve McNair,QB,BAL,160.5
14.05,Brandon Stokley,WR,DEN,160.6
14.05,Oakland Defense,DEF,OAK,160.8
14.05,Reggie Williams,WR,JAC,161.5
14.06,Marty Booker,WR,MIA,161.6
14.06,Seattle Defense,DEF,SEA,162.0
14.06,Chris Henry,WR,CIN,162.2
14.06,David Akers,PK,PHI,162.5
14.07,Keary Colbert,WR,CAR,162.5
14.07,Ernest Wilford,WR,JAC,162.5
14.07,San Francisco Defense,DEF,SF,162.9
14.07,Daunte Culpepper,QB,MIA,163.1
14.08,Green Bay Defense,DEF,GB,163.6
14.08,Brady Quinn,QB,CLE,163.7
14.09,Olindo Mare,PK,NO,165.3
14.09,Tony Hunt,RB,PHI,165.4
14.10,Jason Elam,PK,DEN,165.5
14.12,Joey Harrington,QB,ATL,167.6
14.12,Matt Stover,PK,BAL,167.6
14.12,Ryan Longwell,PK,MIN,168.4
15.02,Josh Brown,PK,SEA,170.2
15.03,Jason Hanson,PK,DET,170.5
