player,name,position,team,mean_adp,median_adp,n_drafts,player_norm,sleeper_rank,rtsports_rank,fftoday_espn_rank,avg_rank,position_fft
17081,"Egbuka, Emeka",WR,TBB,86.92553191489361,84.5,188,emeka egbuka,94,71.0,88.0,84.3,WR
15253,"Etienne, Travis",RB,JAC,88.61702127659575,88.0,188,travis etienne,92,86.0,117.0,98.3,RB
14800,"Dobbins, J.K.",RB,DEN,88.84408602150538,86.5,186,jk dobbins,108,88.0,99.0,98.3,RB
14136,"Samuel, Deebo",WR,WAS,89.49180327868852,88.0,183,deebo samuel,81,85.0,94.0,86.7,WR
16622,"Pearsall, Ricky",WR,SFO,90.92432432432432,86.0,185,ricky pearsall,98,69.0,100.0,89.0,WR
17048,"Johnson, Kaleb",RB,PIT,92.20555555555556,89.5,180,kaleb johnson,77,75.0,93.0,81.7,RB
13189,"Engram, Evan",TE,DEN,92.21348314606742,90.0,178,evan engram,78,90.0,78.0,82.0,TE
15698,"Purdy, Brock",QB,SFO,94.05882352941175,94.0,187,brock purdy,109,122.0,79.0,103.3,QB
12186,"Diggs, Stefon",WR,NEP,94.89784946236558,93.0,186,stefon diggs,87,84.0,86.0,85.7,WR
17102,"Warren, Tyler",TE,IND,94.98305084745763,91.0,177,tyler warren,86,94.0,87.0,89.0,TE
14127,"Meyers, Jakobi",WR,JAC,95.0,92.5,178,jakobi meyers,82,97.0,82.0,87.0,WR
13164,"Kupp, Cooper",WR,SEA,99.5464480874317,98.0,183,cooper kupp,83,89.0,83.0,85.0,WR
17075,"Golden, Matthew",WR,GBP,100.26373626373626,97.0,182,matthew golden,91,87.0,81.0,86.3,WR
17256,"Croskey-Merritt, Jacory",RB,WAS,101.75925925925924,100.0,162,jacory croskey-merritt,156,81.0,89.0,108.7,RB
13404,"Ekeler, Austin",RB,WAS,106.26966292134831,103.0,178,austin ekeler,133,98.0,97.0,109.3,RB
15256,"Williams, Javonte",RB,DAL,107.35754189944134,106.0,179,javonte williams,111,91.0,104.0,102.0,RB
16150,"Stroud, C.J.",QB,HOU,108.28804347826087,110.5,184,cj stroud,121,149.0,137.0,135.7,QB
14860,"Jennings, Jauan",WR,SFO,108.50581395348836,106.0,172,jauan jennings,103,103.0,114.0,106.7,WR
16186,"Addison, Jordan",WR,MIN,109.19540229885058,106.0,174,jordan addison,85,95.0,108.0,96.0,WR
16169,"Charbonnet, Zach",RB,SEA,109.4235294117647,106.0,170,zach charbonnet,110,80.0,134.0,108.0,RB
15972,"Mason, Jordan",RB,MIN,110.26285714285714,107.0,175,jordan mason,106,79.0,123.0,102.7,RB
16222,"Kraft, Tucker",TE,GBP,110.47904191616766,108.0,167,tucker kraft,116,110.0,107.0,111.0,TE
14779,"Herbert, Justin",QB,LAC,110.91256830601093,114.0,183,justin herbert,105,131.0,90.0,108.7,QB
13131,"Mixon, Joe",RB,HOU,114.11585365853658,113.0,164,joe mixon,73,96.0,102.0,90.3,RB
15259,"Stevenson, Rhamondre",RB,NEP,114.51428571428572,112.0,175,rhamondre stevenson,129,109.0,109.0,115.7,RB
16579,"Williams, Caleb",QB,CHI,114.98907103825135,118.0,183,caleb williams,142,105.0,110.0,119.0,QB
16580,"Maye, Drake",QB,NEP,115.16111111111113,118.0,180,drake maye,132,136.0,129.0,132.3,QB
13610,"Chubb, Nick",RB,HOU,115.32954545454544,112.5,176,nick chubb,124,108.0,145.0,125.7,RB
17104,"Loveland, Colston",TE,CHI,116.02312138728324,115.0,173,colston loveland,102,115.0,113.0,110.0,TE
15761,"Shakir, Khalil",WR,BUF,118.26285714285714,113.0,175,khalil shakir,95,104.0,106.0,101.7,WR
13163,"Godwin, Chris",WR,TBB,119.3132530120482,118.0,166,chris godwin,101,102.0,95.0,99.3,WR
16617,"Coleman, Keon",WR,BUF,122.4733727810651,122.0,169,keon coleman,122,117.0,111.0,116.7,WR
14782,"Love, Jordan",QB,GBP,124.5,131.0,174,jordan love,148,156.0,132.0,145.3,QB
16213,"Kincaid, Dalton",TE,BUF,126.47798742138365,128.0,159,dalton kincaid,113,141.0,125.0,126.3,TE
17045,"Skattebo, Cam",RB,NYG,126.8698224852071,124.0,169,cam skattebo,100,100.0,112.0,104.0,RB
15329,"Pitts, Kyle",TE,ATL,128.08805031446542,129.0,159,kyle pitts,114,139.0,141.0,131.3,TE
16184,"Reed, Jayden",WR,GBP,128.19745222929936,129.0,157,jayden reed,112,114.0,124.0,116.7,WR
15293,"Bateman, Rashod",WR,BAL,128.40718562874252,126.0,167,rashod bateman,167,194.0,175.0,178.7,WR
15238,"Fields, Justin",QB,NYJ,128.90058479532163,129.0,171,justin fields,153,124.0,118.0,131.7,QB
17051,"Judkins, Quinshon",RB,CLE,129.89403973509934,128.0,151,quinshon judkins,79,119.0,127.0,108.3,RB
16164,"Bigsby, Tank",RB,PHI,131.1863354037267,129.0,161,tank bigsby,139,99.0,128.0,122.0,RB
13674,"Goedert, Dallas",TE,PHI,132.5448717948718,137.0,156,dallas goedert,146,164.0,131.0,147.0,TE
15713,"Ford, Jerome",RB,CLE,134.47826086956522,131.0,161,jerome ford,181,118.0,157.0,152.0,RB
12676,"Henry, Hunter",TE,NEP,135.73154362416108,137.0,149,hunter henry,171,169.0,158.0,166.0,TE
15254,"Harris, Najee",RB,LAC,135.7639751552795,136.0,161,najee harris,145,120.0,169.0,144.7,RB
16187,"Downs, Josh",WR,IND,136.979020979021,134.0,143,josh downs,120,121.0,136.0,125.7,WR
15799,"Ferguson, Jake",TE,DAL,138.47368421052633,138.5,152,jake ferguson,130,132.0,133.0,131.7,TE
15721,"White, Rachaad",RB,TBB,138.7388535031847,140.0,157,rachaad white,169,126.0,146.0,147.0,RB
16596,"Allen, Braelon",RB,NYJ,139.42176870748298,136.0,147,braelon allen,158,107.0,160.0,141.7,RB
15237,"Lawrence, Trevor",QB,JAC,139.83132530120483,142.5,166,trevor lawrence,179,147.0,170.0,165.3,QB
16080,"Shaheed, Rashid",WR,SEA,140.20289855072463,140.0,138,rashid shaheed,137,148.0,130.0,138.3,WR
16584,"McCarthy, J.J.",QB,MIN,140.2470588235294,139.0,170,jj mccarthy,150,145.0,135.0,143.3,QB
16603,"Davis, Ray",RB,BUF,141.1216216216216,140.0,148,ray davis,186,140.0,190.0,172.0,RB
11247,"Ertz, Zach",TE,WAS,141.3082191780822,144.0,146,zach ertz,152,175.0,156.0,161.0,TE
14974,"Mooney, Darnell",WR,ATL,142.20422535211267,136.0,142,darnell mooney,140,137.0,138.0,138.3,WR
11222,"Allen, Keenan",WR,LAC,144.89261744966444,143.0,149,keenan allen,135,133.0,121.0,129.7,WR
15757,"Robinson, Wan'Dale",WR,NYG,146.06201550387595,146.0,129,wandale robinson,194,179.0,174.0,182.3,WR
13633,"Kirk, Christian",WR,HOU,146.42748091603053,147.0,131,christian kirk,163,150.0,176.0,163.0,WR
17069,"Blue, Jaydon",RB,DAL,147.4453125,149.0,128,jaydon blue,144,111.0,159.0,138.0,RB
16583,"Penix Jr., Michael",QB,ATL,148.55769230769232,153.0,156,michael penix jr,185,192.0,177.0,184.7,QB
16189,"Mims, Marvin",WR,DEN,149.31932773109244,153.0,119,marvin mims,149,129.0,167.0,148.3,WR
11938,"Thielen, Adam",WR,FA,149.3409090909091,151.0,132,adam thielen,164,189.0,152.0,168.3,WR
16594,"Benson, Trey",RB,ARI,150.512,148.0,125,trey benson,160,123.0,151.0,144.7,RB
14778,"Tagovailoa, Tua",QB,MIA,152.24460431654677,155.0,139,tua tagovailoa,210,162.0,166.0,179.3,QB
9431,"Stafford, Matthew",QB,LAR,152.76859504132233,160.0,121,matthew stafford,204,201.0,165.0,190.0,QB
17107,"Ferguson, Terrance",TE,LAR,153.56,156.0,25,terrance ferguson,260,,236.0,248.0,TE
17052,"Tuten, Bhayshul",RB,JAC,155.90217391304347,159.0,92,bhayshul tuten,172,125.0,172.0,156.3,RB
12175,"Cooper, Amari",WR,FA,156.64864864864865,162.5,74,amari cooper,230,195.0,207.0,210.7,WR
17083,"Higgins, Jayden",WR,HOU,157.14705882352942,159.0,102,jayden higgins,126,134.0,142.0,134.0,WR
14840,"Aiyuk, Brandon",WR,SFO,157.3490566037736,154.5,106,brandon aiyuk,138,142.0,164.0,148.0,WR
7836,"Rodgers, Aaron",QB,PIT,157.4392523364486,158.0,107,aaron rodgers,231,238.0,194.0,221.0,QB
16165,"Spears, Tyjae",RB,TEN,157.65822784810126,157.0,79,tyjae spears,166,138.0,149.0,151.0,RB
17030,"Ward, Cam",QB,TEN,158.021978021978,156.0,91,cam ward,168,226.0,173.0,189.0,QB
15798,"Likely, Isaiah",TE,BAL,158.4271844660194,163.0,103,isaiah likely,174,196.0,200.0,190.0,TE
14867,"Kmet, Cole",TE,CHI,158.6161616161616,159.0,99,cole kmet,274,,222.0,248.0,TE
15331,"Freiermuth, Pat",TE,PIT,158.72173913043477,158.0,115,pat freiermuth,221,218.0,199.0,212.7,TE
16148,"Young, Bryce",QB,CAR,158.90178571428572,163.0,112,bryce young,208,185.0,192.0,195.0,QB
17047,"Sampson, Dylan",RB,CLE,159.30985915492957,158.0,71,dylan sampson,183,135.0,220.0,179.3,RB
14823,"Dowdle, Rico",RB,CAR,159.3821138211382,162.0,123,rico dowdle,195,143.0,,169.0,RB
15712,"Allgeier, Tyler",RB,ATL,161.25688073394497,164.0,109,tyler allgeier,187,152.0,162.0,167.0,RB
13138,"Hunt, Kareem",RB,KCC,161.61344537815123,164.0,119,kareem hunt,184,155.0,,169.5,RB
11150,"Smith, Geno",QB,LVR,163.54166666666666,163.5,72,geno smith,238,202.0,204.0,214.7,QB
17157,"TeSlaa, Isaac",WR,DET,164.97674418604652,167.0,43,isaac teslaa,196,206.0,213.0,205.0,WR
13772,"Schultz, Dalton",TE,HOU,165.71794871794873,174.0,39,dalton schultz,242,,,242.0,TE
16342,"Douglas, Demario",WR,NEP,165.74157303370785,165.0,89,demario douglas,206,180.0,,193.0,WR
13193,"Smith, Jonnu",TE,PIT,167.3448275862069,172.0,87,jonnu smith,123,157.0,182.0,154.0,TE
16639,"Legette, Xavier",WR,CAR,167.67142857142858,170.5,70,xavier legette,189,178.0,154.0,173.7,WR
